ExperimentName,Subject,Session,0,Display.RefreshRate,Group,RandomSeed,0,0,0,Block,Filename,FileText,Noise,Procedure,Running,Slide1.RESP,Slide1.RT,Slide1.RTTime,StimList,StimList.Cycle,StimList.Sample
SPIN,1015,1,0,60.004,1,637011235,0,0,0,1,A180911_8T.wav,The BABY BROKE his CUP.   ,8Talker,TypeSPINProc,StimList,x{ENTER}{ESCAPE},10219,64809,27,1,1
SPIN,1015,1,0,60.004,1,637011235,0,0,0,2,A180713_2T.wav,The GIRL has a PICTURE BOOK.   ,2Talker,TypeSPINProc,StimList,{SHIFT}The{SPACE}girl{SPACE}has{SPACE}a{SPACE}picture{SPACE}{.}{.}{SPACE}nest{ENTER}{ESCAPE},14499,81872,13,1,2
SPIN,1015,1,0,60.004,1,637011235,0,0,0,3,A180708_2T.wav,The YOUNG PEOPLE are DANCING.,2Talker,TypeSPINProc,StimList,{SHIFT}Have{SPACE}you{SPACE}heard{SPACE}the{SPACE}young{SPACE}people{SPACE}are{SPACE}dancing{SHIFT}{ESCAPE},10697,95935,8,1,3
SPIN,1015,1,0,60.004,1,637011235,0,0,0,4,A181502_1T.wav,The OVEN is TOO HOT.,1T,TypeSPINProc,StimList,{SHIFT}Monday{SPACE}is{SPACE}the{SPACE}first{SPACE}day{SPACE}of{SPACE}the{SPACE}week{ESCAPE},8733,108470,50,1,4
SPIN,1015,1,0,60.004,1,637011235,0,0,0,5,A181507_1T.wav,Some NICE PEOPLE are COMING.   ,1T,TypeSPINProc,StimList,some{SPACE}nice{SPACE}people{SPACE}are{SPACE}coming{SPACE}{SPACE}{SPACE}breakfast{ESCAPE},14845,125165,55,1,5
SPIN,1015,1,0,60.004,1,637011235,0,0,0,6,A180910_8T.wav,THEY WENT on a VACATION.   ,SSN,TypeSPINProc,StimList,they{SPACE}went{SPACE}up{SPACE}a{SPACE}new{SPACE}{ESCAPE},12185,138804,26,1,6
SPIN,1015,1,0,60.004,1,637011235,0,0,0,7,A180716_2T.wav,The NEW ROAD is on the MAP.   ,2Talker,TypeSPINProc,StimList,a{SPACE}new{SPACE}road{SPACE}in{SPACE}a{SPACE}field{ESCAPE},11885,151620,16,1,7
SPIN,1015,1,0,60.004,1,637011235,0,0,0,8,A181004_SSN.wav,The GOOD BOY is HELPING.   ,SSN,TypeSPINProc,StimList,the{SPACE}good{SPACE}boy{SPACE}is{SPACE}healthy{ESCAPE},8785,163419,36,1,8
SPIN,1015,1,0,60.004,1,637011235,0,0,0,9,A180915_8T.wav,The CHILD DRANK some MILK.   ,SSN,TypeSPINProc,StimList,the{SPACE}child{SPACE}drinks{SPACE}milk{ESCAPE},7900,173634,31,1,9
SPIN,1015,1,0,60.004,1,637011235,0,0,0,10,A181509_1T.wav,THEY MET SOME FRIENDS.   ,1T,TypeSPINProc,StimList,they{SPACE}met{SPACE}some{SPACE}friends{SPACE}{SPACE}{SPACE}mother{SPACE}and{SPACE}father{ESCAPE},44178,220944,57,1,10
SPIN,1015,1,0,60.004,1,637011235,0,0,0,11,A181501_1T.wav,A MAN is TURNING the FAUCET.   ,1T,TypeSPINProc,StimList,sparrows{SPACE}build{SPACE}their{SPACE}nests{SPACE}in{SPACE}trees{SPACE}{SPACE}{SPACE}a{SPACE}man{SPACE}fixes{SPACE}a{SPACE}faucet{ENTER}{ESCAPE},19061,242174,49,1,11
SPIN,1015,1,0,60.004,1,637011235,0,0,0,12,A180704_2T.wav,SHE FOUND her PURSE.,2Talker,TypeSPINProc,StimList,{SHIFT}She{SPACE}found{SPACE}her{SPACE}purse{SPACE}{SPACE}{SPACE}my{SPACE}hat{ESCAPE},10072,253734,4,1,12
SPIN,1015,1,0,60.004,1,637011235,0,0,0,13,A181506_1T.wav,The BOY HURRIED to SCHOOL.   ,1T,TypeSPINProc,StimList,the{SPACE}boy{SPACE}hurried{SPACE}to{SPACE}school{SPACE}{SPACE}{SPACE}{SPACE}{SPACE}for{SPACE}dessert{ESCAPE},13412,270973,54,1,13
SPIN,1015,1,0,60.004,1,637011235,0,0,0,14,A180711_2T.wav,The BALL is BOUNCING very HIGH.   ,2Talker,TypeSPINProc,StimList,the{SPACE}ball{SPACE}is{SPACE}bouncing{ESCAPE},8089,283316,11,1,14
SPIN,1015,1,0,60.004,1,637011235,0,0,0,15,A181009_SSN.wav,The MAILMAN BROUGHT a LETTER.   ,SSN,TypeSPINProc,StimList,the{SPACE}mailman{SPACE}got{SPACE}a{SPACE}letter{ESCAPE},15797,300107,41,1,15
SPIN,1015,1,0,60.004,1,637011235,0,0,0,16,A181012_SSN.wav,The MILK was by the FRONT DOOR.   ,SSN,TypeSPINProc,StimList,the{SPACE}milk{SPACE}was{SPACE}by{SPACE}the{SPACE}front{SPACE}door{ENTER}{ESCAPE},9933,312242,44,1,16
SPIN,1015,1,0,60.004,1,637011235,0,0,0,17,A180905_8T.wav,The TABLE has THREE LEGS.   ,SSN,TypeSPINProc,StimList,the{SPACE}table{SPACE}has{SPACE}three{SPACE}legs{ENTER}{ESCAPE},7958,321466,21,1,17
SPIN,1015,1,0,60.004,1,637011235,0,0,0,18,A180901_8T.wav,The BOOK TELLS a STORY.   ,8Talker,TypeSPINProc,StimList,she{SPACE}tells{SPACE}a{SPACE}story{SPACE}about{SPACE}you{ESCAPE},7812,331153,17,1,18
SPIN,1015,1,0,60.004,1,637011235,0,0,0,19,A180903_8T.wav,THEY are CLIMBING the TREE.   ,8Talker,TypeSPINProc,StimList,they{SPACE}are{SPACE}climbing{SPACE}the{SPACE}tree{ESCAPE},8608,342032,19,1,19
SPIN,1015,1,0,60.004,1,637011235,0,0,0,20,A181508_1T.wav,SHE BUMPED her HEAD.   ,1T,TypeSPINProc,StimList,she{SPACE}bumped{SPACE}her{SPACE}head{ESCAPE},6062,351568,56,1,20
