ExperimentName,Subject,Session,0,Display.RefreshRate,Group,RandomSeed,0,0,0,Block,Filename,FileText,Noise,Procedure,Running,Slide1.RESP,Slide1.RT,Slide1.RTTime,StimList,StimList.Cycle,StimList.Sample
SPIN,2015,1,0,60.004,1,447438859,0,0,0,1,A181003_SSN.wav,THEY SAT on a WOODEN BENCH.   ,SSN,TypeSPINProc,StimList,{ENTER}except{RIGHTARROW}{RIGHTARROW}{LEFTARROW}{SPACE}{ESCAPE},67151,157962,35,1,1
SPIN,2015,1,0,60.004,1,447438859,0,0,0,2,A180706_2T.wav,MOTHER GOT a SAUCEPAN.,2Talker,TypeSPINProc,StimList,{SHIFT}The{SPACE}mother{SPACE}parents{ESCAPE},18613,181769,6,1,2
SPIN,2015,1,0,60.004,1,447438859,0,0,0,3,A180901_8T.wav,The BOOK TELLS a STORY.   ,8Talker,TypeSPINProc,StimList,{SHIFT}Store{ESCAPE},10162,193584,17,1,3
SPIN,2015,1,0,60.004,1,447438859,0,0,0,4,A180713_2T.wav,The GIRL has a PICTURE BOOK.   ,2Talker,TypeSPINProc,StimList,{SHIFT}The{SPACE}girl{SPACE}has{SPACE}dropped{ESCAPE},12125,206880,13,1,4
SPIN,2015,1,0,60.004,1,447438859,0,0,0,5,A181001_SSN.wav,A DISH TOWEL is by the SINK.   ,SSN,TypeSPINProc,StimList,{SHIFT}The{SPACE}dish{SPACE}towel{SPACE}is{SPACE}by{SPACE}the{SPACE}sink{ESCAPE},8670,216407,33,1,5
SPIN,2015,1,0,60.004,1,447438859,0,0,0,6,A181516_1T.wav,The PUPPY PLAYS with a BALL.   ,1T,TypeSPINProc,StimList,{SHIFT}The{SPACE}war{SPACE}plane{SPACE}dropped{SPACE}the{SPACE}bomb{ESCAPE},16912,238598,64,1,6
SPIN,2015,1,0,60.004,1,447438859,0,0,0,7,A181512_1T.wav,The DAUGHTER SET the TABLE.   ,1T,TypeSPINProc,StimList,{SHIFT}He{SPACE}had{SPACE}apple{SPACE}pie{ESCAPE},8394,248013,60,1,7
SPIN,2015,1,0,60.004,1,447438859,0,0,0,8,A181507_1T.wav,Some NICE PEOPLE are COMING.   ,1T,TypeSPINProc,StimList,{SHIFT}Nice{SPACE}people{SPACE}are{SPACE}coming{ESCAPE},10045,258980,55,1,8
SPIN,2015,1,0,60.004,1,447438859,0,0,0,9,A180715_2T.wav,HE is HOLDING his NOSE.   ,2Talker,TypeSPINProc,StimList,{SHIFT}People{SPACE}work{SPACE}hard{ESCAPE},9773,269524,15,1,9
SPIN,2015,1,0,60.004,1,447438859,0,0,0,10,A181503_1T.wav,HE is SUCKING his THUMB.   ,1T,TypeSPINProc,StimList,{SHIFT}I{SPACE}wore{SPACE}my{SPACE}hat{SPACE}on{SPACE}my{SPACE}head{ESCAPE},12477,282827,51,1,10
SPIN,2015,1,0,60.004,1,447438859,0,0,0,11,A180910_8T.wav,THEY WENT on a VACATION.   ,SSN,TypeSPINProc,StimList,{SHIFT}They{SPACE}went{SPACE}on{SPACE}the{SPACE}vacation{ESCAPE},16869,300018,26,1,11
SPIN,2015,1,0,60.004,1,447438859,0,0,0,12,A181005_SSN.wav,THEY FOLLOWED the PATH.   ,SSN,TypeSPINProc,StimList,{SHIFT}They{SPACE}followed{SPACE}the{SPACE}path{ESCAPE},8925,309473,37,1,12
SPIN,2015,1,0,60.004,1,447438859,0,0,0,13,A180701_2T.wav,The CHILDREN DROPPED the BAG,2Talker,TypeSPINProc,StimList,{SHIFT}The{SPACE}children{ESCAPE},11649,321897,1,1,13
SPIN,2015,1,0,60.004,1,447438859,0,0,0,14,A180915_8T.wav,The CHILD DRANK some MILK.   ,SSN,TypeSPINProc,StimList,{SHIFT}The{SPACE}child{SPACE}drinks{SPACE}the{ESCAPE},12056,334736,31,1,14
SPIN,2015,1,0,60.004,1,447438859,0,0,0,15,A181008_SSN.wav,SOMEONE is CROSSING the ROAD.   ,SSN,TypeSPINProc,StimList,{SHIFT}Someone{'}s{SPACE}crossing{SPACE}the{SPACE}road{ESCAPE},9791,345087,40,1,15
SPIN,2015,1,0,60.004,1,447438859,0,0,0,16,A180705_2T.wav,The FRUIT IS on the GROUND.   ,2Talker,TypeSPINProc,StimList,{SHIFT}The{SPACE}is{SPACE}on{SPACE}the{SPACE}ground{ESCAPE},14091,359670,5,1,16
